0	20.33	10	2	8	8	1	1	1	4	0	2	50	1466
0	21.75	1.75	1	5	3	0	0	0	0	0	2	160	1
1	33.17	1.04	2	12	8	6.5	1	0	0	1	2	164	31286
0	25.33	2.085	2	8	8	2.75	1	0	0	1	2	360	2
0	24.75	3	2	11	8	1.835	1	1	19	0	2	0	501
1	30.83	0	2	9	4	1.25	1	1	1	0	2	202	1
1	20.75	5.085	1	5	4	0.29	0	0	0	0	2	140	185
0	40.33	8.125	1	4	4	0.165	0	1	2	0	2	184	19
1	29.42	1.25	2	8	8	0.25	0	1	2	1	2	400	109
1	40.92	0.5	1	7	4	0.5	0	0	0	1	2	130	1
0	29.5	0.46	2	4	4	0.54	1	1	4	0	2	380	501
1	54.42	0.5	1	4	8	3.96	1	0	0	0	2	180	315
1	34	5.5	1	8	4	1.5	0	0	0	1	2	60	1
1	25	12	2	4	4	2.25	1	1	2	1	2	120	6
0	26.58	2.54	1	1	1	0	0	0	0	1	2	180	61
0	33.08	4.625	2	11	8	1.625	1	1	2	0	2	0	1
1	33.67	2.165	2	8	4	1.5	0	0	0	0	3	120	1
1	36.17	5.5	2	3	5	5	0	0	0	0	2	210	688
1	19.5	0.29	2	4	4	0.29	0	0	0	0	2	280	365
1	24.17	0.875	2	11	4	4.625	1	1	2	1	2	520	2001
0	30.5	6.5	2	8	5	4	1	1	7	1	2	0	3066
1	20	7	2	8	4	0.5	0	0	0	0	2	0	1
1	25.33	0.58	2	8	4	0.29	1	1	7	1	2	96	5125
1	29.58	4.75	2	7	4	2	0	1	1	1	2	460	69
1	43.17	2.25	2	3	5	0.75	1	0	0	0	2	560	1
1	28.75	1.165	2	4	4	0.5	1	0	0	0	1	280	1
1	31.57	3	1	3	5	7	0	0	0	0	2	0	2
1	20.25	9.96	2	10	2	0	1	0	0	0	2	0	1
1	45	8.5	2	13	8	14	1	1	1	1	2	88	2001
0	22.83	2.29	2	11	8	2.29	1	1	7	1	2	140	2385
0	20.67	3	2	11	4	0.165	1	1	3	0	2	100	7
1	27.83	1.5	2	9	4	2.25	0	1	1	1	2	100	4
1	40.92	2.25	1	14	8	10	1	0	0	1	2	176	1
1	56.42	28	1	8	4	28.5	1	1	40	0	2	0	16
0	64.08	0.165	2	1	1	0	1	1	1	0	2	232	101
0	22.42	11.25	1	14	8	0.75	1	1	4	0	2	0	322
0	24.33	2.5	1	3	5	4.5	0	0	0	0	2	200	457
0	69.5	6	2	1	1	0	0	0	0	0	1	0	1
1	35.58	0.75	2	4	4	1.5	0	0	0	1	2	231	1
1	48.33	12	2	7	4	16	1	0	0	0	1	110	1
0	28.08	15	1	10	9	0	1	0	0	0	2	0	13213
1	35.17	2.5	2	4	4	4.5	1	1	7	0	2	150	1271
1	49.5	7.585	2	3	5	7.585	1	1	15	1	2	0	5001
1	80.25	5.5	2	8	4	0.54	1	0	0	0	2	0	341
1	29.25	13	2	2	8	0.5	0	0	0	0	2	228	1
0	16.92	0.5	2	3	4	0.165	0	1	6	1	2	240	36
0	16	0.165	2	6	4	1	0	1	2	1	2	320	2
1	60.08	14.5	2	1	1	18	1	1	15	1	2	0	1001
1	28	2	2	4	8	4.165	1	1	2	1	2	181	1
1	41.5	1.54	2	3	5	3.5	0	0	0	0	2	216	1
1	24.08	9	2	6	4	0.25	0	0	0	1	2	0	1
1	24.5	13.335	1	6	4	0.04	0	0	0	1	2	120	476
1	34.75	15	2	12	7	5.375	1	1	9	1	2	0	135
1	33.67	1.25	2	9	4	1.165	0	0	0	0	2	120	1
0	40.83	10	2	11	8	1.75	1	0	0	0	2	29	838
1	20.42	1.835	2	8	4	2.25	1	1	1	0	2	100	151
1	37.5	1.125	1	2	4	1.5	0	0	0	1	2	431	1
1	48.5	4.25	2	7	4	0.125	1	0	0	1	2	225	1
1	23	0.75	2	7	4	0.5	0	0	0	1	1	320	1
1	35	3.375	2	8	8	8.29	0	0	0	1	2	0	1
1	16.33	2.75	2	6	4	0.665	0	1	1	0	2	80	22
1	22.67	10.5	2	11	8	1.335	1	0	0	0	2	100	1
0	21.75	11.75	2	8	4	0.25	0	0	0	1	2	180	1
0	25.08	2.54	1	6	4	0.25	1	0	0	1	2	370	1
1	36.33	2.125	1	9	4	0.085	1	1	1	0	2	50	1188
0	28.58	3.75	2	8	4	0.25	0	1	1	1	2	40	155
1	22.17	12.125	2	8	4	3.335	0	1	2	1	2	180	174
1	34.17	1.54	2	13	4	1.54	1	1	1	1	2	520	50001
1	35	2.5	2	3	4	1	0	0	0	1	2	210	1
1	28.58	3.625	2	6	4	0.25	0	0	0	1	2	100	1
0	19.17	5.415	2	3	8	0.29	0	0	0	0	2	80	485
1	23.25	1	2	8	4	0.835	1	0	0	0	1	300	1
1	16.5	0.125	2	8	4	0.165	0	0	0	0	2	132	1
0	20.08	0.125	2	11	4	1	0	1	1	0	2	240	769
1	22.33	11	2	9	4	2	1	1	1	0	2	80	279
1	34	5.085	1	3	5	1.085	0	0	0	1	2	480	1
0	57.08	0.335	2	3	5	1	1	0	0	1	2	252	2198
1	16.25	0.835	2	7	4	0.085	1	0	0	0	1	200	1
1	32.83	2.5	2	13	8	2.75	1	1	6	0	2	160	2073
1	48.25	25.085	2	9	4	1.75	1	1	3	0	2	120	15
1	34.17	2.75	2	3	5	2.5	0	0	0	1	2	232	201
1	18.33	1.21	1	10	2	0	0	0	0	0	2	100	1
1	44.25	0.5	2	7	4	10.75	1	0	0	0	1	400	1
1	38.92	1.75	2	4	4	0.5	0	0	0	1	2	300	3
1	31.58	0.75	1	6	4	3.5	0	0	0	1	2	320	1
1	25.08	1.71	2	14	4	1.665	1	1	1	1	2	395	21
1	65.42	11	2	10	9	20	1	1	7	1	2	22	1
1	41.33	0	2	8	5	15	1	0	0	0	2	0	1
1	31.25	1.125	2	1	1	0	0	1	1	0	2	96	20
0	36.75	4.71	2	1	1	0	0	0	0	0	2	160	1
1	32.33	7.5	2	10	5	1.585	1	0	0	1	1	420	1
0	31.92	3.125	2	1	1	3.04	0	1	2	1	2	200	5
1	24.83	2.75	2	8	4	2.25	1	1	6	0	2	184	601
1	21.92	0.54	1	14	4	0.04	1	1	1	1	2	840	60
1	34.25	3	2	13	8	7.415	1	0	0	1	2	0	1
1	51.83	3	1	1	1	1.5	0	0	0	0	2	180	5
0	31.57	1.5	2	1	1	0	0	1	2	1	2	200	106
1	38.42	0.705	2	8	4	0.375	0	1	2	0	2	225	501
1	39.17	1.71	2	14	4	0.125	1	1	5	1	2	480	1
1	18.17	2.46	2	8	7	0.96	0	1	2	1	2	160	588
1	39	5	2	13	4	3.5	1	1	10	1	2	0	1
1	20	11.045	2	8	4	2	0	0	0	1	2	136	1
1	32.75	2.335	2	2	8	5.75	0	0	0	1	2	292	1
1	18.58	5.71	2	2	4	0.54	0	0	0	0	2	120	1
